age,income,purchase_frequency,target
34,40801.29339172798,14,384.84080816493844
36,46690.32468579987,5,274.8769678410664
55,64540.77598925348,10,367.14409379285127
18,57664.11482053688,7,316.1248357703703
28,58820.914294897826,9,294.8932635856456
24,30745.541939297647,6,272.49416619624884
38,74042.74203794815,5,339.41373491823146
46,37697.4242686975,10,367.220854948943
27,70342.72977152638,10,338.54614983152345
35,64258.526391777836,2,308.87997728771234
58,58927.99290141616,10,385.4458090665483
66,41740.18262909942,5,306.0593546287572
18,53819.07813783427,8,281.84128697142563
50,46348.94307226168,9,354.6128442787577
19,52348.4748580635,6,301.01969741166414
45,49001.53289097328,11,397.7056218212644
63,27536.6739211311,6,310.834353099474
59,65461.40981181506,6,349.8449130445154
30,51026.71412140767,8,297.97617657046504
31,46182.39520597315,5,252.1949617414986
58,45276.07320604278,8,369.616633324875
60,56301.51491640122,10,369.0395441472451
32,41274.92394046633,10,350.5544452603588
18,24937.89329831148,10,281.9772274138643
41,56885.55763849931,8,349.5691729088778
50,58229.23597548186,11,380.32110569975777
41,49604.418103868404,10,361.6222944677818
66,38225.16549771989,7,325.34091573870376
60,53067.226490671426,13,400.75018715196666
58,34425.61158023693,7,322.3713188934379
19,39673.23283974809,3,229.2670234950736
62,42991.624761950065,4,284.41655394912357
57,62127.268850698674,10,404.6510732106103
38,47648.66859475699,6,299.6176240769427
48,46625.60305868247,9,350.629406352521
60,75456.31018493496,8,393.8354232027862
65,56229.54996626457,7,336.27667383891
46,56067.93412569791,11,412.0373475016813
20,47563.591057494705,2,270.0594103302609
50,44843.539988358665,8,347.3627792019565
53,25763.12271979419,8,287.3700317321029
21,63624.8863830827,8,326.44341330294395
60,57379.71646907655,7,384.4059818560824
28,49850.00808143904,9,316.2234154115298
64,50353.27957796493,7,334.8554384289839
46,60833.73114713266,15,464.3121558069944
34,33343.47912304176,5,256.5334046138061
21,44921.42402135433,10,350.4113546129856
18,38364.36564528963,7,240.36089307677926
56,73258.11138984095,9,414.07992043537195
37,62507.866382239605,7,380.8373847488115
61,25567.68830637563,9,314.93039150592847
29,33834.86048032029,3,227.18963111528467
65,50411.85191971016,9,345.4686654874519
66,46330.7174551309,6,353.50829599896673
23,36107.41350307734,3,214.41226535334093
51,75337.14685180587,4,349.97812251581195
66,55750.47896779095,7,336.0109123397297
34,57697.7958743571,9,377.3334837506629
21,43695.820609213435,3,265.6893474329405
63,60667.28976613603,7,366.3028845480095
42,47434.806868215856,4,262.18663502469315
19,48599.88191551001,4,290.71790481587266
61,59332.023517903115,2,304.5454124948633
53,32452.029219276403,9,296.3999616222024
21,71164.3343182118,7,302.28630838697273
31,54188.67057668651,5,282.65803851549754
18,67371.3305053651,10,327.2498985601314
67,39094.96292057418,13,376.1335091106918
19,40922.018511661685,8,299.5322116972777
59,38057.19734080225,12,359.4063914020998
44,55003.572071978066,5,319.92101178623034
48,52791.79962301895,8,328.7169060553933
60,46427.058169225835,6,326.1574976657363
64,39831.16968537665,5,344.8803558124737
24,36800.84476322989,11,305.43196796592184
18,51418.19319435213,6,292.1249751410974
24,46412.9586449368,15,340.3153727405048
53,43772.71609170085,10,381.5475546317391
47,70565.07383357931,10,387.98601508826135
22,51012.09186168719,7,319.43485672150445
30,67240.5152071231,7,338.0174244990681
45,45600.97380780764,7,327.4335349160314
55,54937.31540558388,8,369.29487935538776
35,51334.28780492398,6,295.6197688195936
67,31628.532285782527,13,395.4951932868021
69,69140.05967516695,11,415.9004220704719
57,50378.15671561101,5,334.7149978317729
41,60957.01863559552,5,313.3099313878604
63,42975.65533046129,6,328.54246963356377
55,50021.86742104282,6,316.8038747950004
45,41597.771680919745,5,288.1950628559714
41,66831.98179316072,10,361.3700895524861
61,55736.91216940811,6,349.6249640325921
46,56404.64232017066,6,328.89304133953306
27,68298.20976525974,7,328.19334844907
69,65876.09556278828,6,373.45163179777063
21,61184.110433635426,11,360.24831039062906
54,34939.27183555045,5,272.3514026057986
52,43651.850565799796,11,357.1285296170062
48,39953.34236786376,9,307.3956459178291
20,60730.40432350959,6,352.3754694262393
43,54047.823301000615,6,340.87801980616496
64,35313.85079643286,15,402.88958370549676
30,49735.06944386527,7,328.9123974372644
53,34070.65197137466,7,262.15625440907377
62,51362.12214316288,7,295.9706495296456
67,32135.52995215378,8,316.6852386693094
44,58345.92992061535,7,311.9205769691886
34,56535.551512408885,5,299.1389925358512
54,74895.38192016257,9,408.70389665222314
43,62174.47947396811,9,384.3572489147485
50,46925.02893012996,4,271.0847781747557
56,61816.84111929383,12,418.82629596178907
54,35228.03342865786,8,315.5438607203604
30,40450.32875582697,6,283.85084371031564
57,55997.71038490132,8,349.99998175473064
46,26101.00404702487,7,305.0647108912921
66,51554.07058079341,9,370.2379681929923
52,39756.84049457895,9,367.3973254592333
64,53215.684661839165,15,417.4235962500339
68,39067.16370343284,8,354.5908742059767
69,57090.977649462264,5,345.788585687714
56,52231.929084008676,13,395.10900983468207
49,68804.39100257597,9,399.0550888145028
24,52080.81440921946,13,356.97815923464714
38,42776.28634046241,11,287.9132659377782
42,49037.369730072605,7,257.217376996659
58,35869.16323579922,8,346.7867696772794
48,56873.64705646528,10,395.95246327052445
40,59078.202955783265,8,383.90322483668547
25,81630.35244031381,6,352.91013991498403
55,44537.96811274714,8,309.22324018553644
40,48786.46511589781,8,317.1812533787756
19,45090.89770674141,6,273.21028572070907
32,54545.36441357469,6,287.3499643414472
63,56580.28641375536,7,391.73206728698807
24,51359.50186685787,6,336.3090613265905
39,65035.91100247639,9,376.43743601955634
44,44596.24595494267,9,331.77521697592147
22,63834.08857468855,9,318.1688375798885
26,58461.97424369299,9,369.052626410507
66,51855.640961212644,4,324.43741813940625
48,48220.76031091425,7,318.25823265361623
28,81120.01310477643,5,355.46350798304366
26,42195.896191095046,9,293.8775618024064
40,55575.198123620976,7,332.0878997096783
55,42997.371157094414,8,303.14540529727566
55,73427.44898345567,13,464.5966417519601
28,62641.915945590445,10,356.79561106846745
55,43859.80145390627,9,366.89562012049277
64,58151.13992117474,8,369.0795562855171
29,55092.34865531867,6,302.26070313495774
19,45800.50285630314,6,250.15465714676716
67,61097.970606738076,7,387.79108067383896
45,56671.664693252926,2,269.826530306044
58,54588.38456663143,10,369.04832166927827
34,51496.963465092056,4,283.81487065183484
33,57172.65391119581,7,326.3697914961788
29,54752.65193790951,3,240.18336507146387
