age,income,purchase_frequency,target
22,43868.849348969314,3,269.584902974628
58,23907.259303720424,7,317.7720047975337
52,27395.457055308114,7,318.61947475273917
40,70550.96534433958,3,346.04084863485684
40,29550.92902471163,1,219.26106588476446
62,31838.573058544323,7,337.5120707479452
22,67042.96233985576,5,344.8949317911149
54,79860.80603088488,3,382.88556893292235
28,30941.200454095902,5,267.54093091801974
22,40581.01251854363,4,269.17418054949775
45,49098.66661128611,6,326.56152862790566
68,65744.3717328671,7,400.8750826024437
56,33157.715058861155,5,323.89838015705845
57,42056.66584869468,4,321.41217294828175
55,54328.05091274093,9,418.7620705938134
58,50217.19289359942,6,365.65147276170933
44,40486.12714523881,2,264.6963198067767
24,43394.12442580751,8,349.51648666807046
61,28501.25029956022,6,338.9046758195761
41,42141.915072304015,5,326.708390248421
44,41803.35011989254,5,309.3911419208654
37,47786.03867551507,2,297.7119319492069
27,38336.07337417181,5,288.64136038299
66,50658.46227054167,8,413.16444839239927
58,57152.58981383794,5,364.5469374443735
51,46865.151932021596,2,289.8704380137267
38,49221.076900790446,8,349.3271139965745
60,45637.86417093441,4,337.3027451087653
46,45001.01271709697,5,377.10791333234675
41,36341.30359748583,6,304.38670569916997
41,48797.931140079694,8,368.21575658865834
29,43832.560819038124,5,288.541016351131
22,70118.01970716714,2,286.87564138309557
46,63880.258829702914,5,388.8495072217793
64,49630.15863067801,6,352.6008969068067
21,35843.31348366279,3,232.40501749999837
62,31651.062336198986,8,325.95226819777196
61,59293.71543706638,4,336.63519638328785
32,48152.99070176566,6,290.5379835444644
50,50761.72084069933,7,379.15953566563724
26,24064.96815630969,5,310.32388074936557
57,56129.26177869817,8,393.3249476843859
54,50453.044058572355,6,322.37092945733997
36,31674.83178702626,4,284.54965686264717
21,39341.70231060061,6,279.344905442598
68,48164.60645227823,4,363.9161515156273
41,45629.601580274924,7,339.8186222047509
64,41493.94577035734,3,292.1515777590591
53,43758.140783208466,8,367.55713045150316
58,41976.271461517375,11,433.70807814175845
57,46830.75014522962,5,332.51308767534607
28,62657.903675917885,4,308.9813132959617
36,14200.09870882443,5,242.6235653580714
42,42157.79682588379,4,269.27848996174987
43,47118.14905646937,4,313.77693015881835
20,48551.927876245194,6,275.3693238755922
46,40537.025024144525,8,347.39162096097874
26,23919.338610257008,5,269.2263813971289
56,48935.94580456932,9,406.13285726779293
53,65728.20256997022,4,366.8628165996683
